NBA Season,Team,% Salary Cap,Prev # All-Stars,Prev W-L,# (H) Games,(H) Attendance Season,(H) Arena Capacity,(H) Capacity Season,(H) Avg Attendance,(H) % Capacity,# (A) Games,(A) Avg Attendance,(A) % Capacity,(A) Games,(H) & (A) Avg,(H) & (A) PCT
2009-2010,Denver Nuggets,1.19,2,0.66,41,737812,19155,785355,17995,0.94,41,17446,0.92,82,17721,0.93
2010-2011,Denver Nuggets,1.11,1,0.65,41,692968,19155,785355,16902,0.88,41,17285,0.91,82,17093,0.9
2011-2012,Denver Nuggets,0.98,0,0.61,33,561966,19155,632115,17029,0.89,33,17228,0.91,66,17129,0.9
2012-2013,Denver Nuggets,1.16,0,0.58,41,730616,19155,785355,17820,0.93,41,17401,0.91,82,17610,0.92
2013-2014,Denver Nuggets,1.15,0,0.7,41,692898,19155,785355,16900,0.88,41,17211,0.9,82,17055,0.89
2014-2015,Denver Nuggets,0.89,0,0.44,41,602707,19155,785355,14700,0.77,41,17437,0.92,82,16069,0.84
2015-2016,Denver Nuggets,1.05,0,0.37,41,577898,19155,785355,14095,0.74,41,17751,0.93,82,15923,0.83
2016-2017,Denver Nuggets,0.9,1,0.4,41,577898,19155,785355,14095,0.74,41,17751,0.93,82,15923,0.83
2008-2009,Detroit Pistons,1.22,1,0.72,41,896971,22076,905116,21877,0.99,41,18024,0.94,82,19951,0.96
2009-2010,Detroit Pistons,0.96,0,0.48,41,768826,22076,905116,18752,0.85,41,17104,0.89,82,17928,0.87
2010-2011,Detroit Pistons,1.06,0,0.33,41,683080,22076,905116,16660,0.76,41,16732,0.88,82,16696,0.82
2011-2012,Detroit Pistons,1.18,0,0.37,33,475638,22076,728508,14413,0.65,33,16342,0.85,66,15378,0.75
2012-2013,Detroit Pistons,1.2,0,0.38,41,606094,22076,905116,14783,0.67,41,16885,0.88,82,15834,0.77
2013-2014,Detroit Pistons,1.01,0,0.35,41,615238,22076,905116,15006,0.68,41,17280,0.9,82,16143,0.79
2014-2015,Detroit Pistons,1.06,0,0.35,41,625917,22076,905116,15266,0.69,41,17866,0.93,82,16566,0.81
2015-2016,Detroit Pistons,1.11,1,0.39,41,677138,22076,905116,16516,0.75,41,17814,0.93,82,17165,0.84
2016-2017,Detroit Pistons,1.19,1,0.54,41,677138,22076,905116,16516,0.75,41,17814,0.93,82,17165,0.84
2008-2009,Golden State Warriors,1.15,0,0.59,41,776660,19596,803436,18943,0.97,41,16942,0.89,82,17942,0.93
2009-2010,Golden State Warriors,1.04,0,0.35,41,739120,19596,803436,18027,0.92,41,16443,0.87,82,17235,0.89
2010-2011,Golden State Warriors,1.12,0,0.32,41,766398,19596,803436,18693,0.95,41,17049,0.9,82,17871,0.93
2011-2012,Golden State Warriors,1.03,0,0.44,33,622311,19596,646668,18858,0.96,33,16364,0.86,66,17611,0.91
2012-2013,Golden State Warriors,1.18,1,0.35,41,794320,19596,803436,19374,0.99,41,17204,0.91,82,18289,0.95
2013-2014,Golden State Warriors,1.14,1,0.57,41,803436,19596,803436,19596,1,41,17526,0.92,82,18561,0.96
2014-2015,Golden State Warriors,1.17,2,0.62,41,803436,19596,803436,19596,1,41,18312,0.96,82,18954,0.98
2015-2016,Golden State Warriors,1.36,3,0.82,41,803436,19596,803436,19596,1,41,19134,1.01,82,19365,1
2016-2017,Golden State Warriors,1.11,4,0.89,41,803436,19596,803436,19596,1,41,19134,1.01,82,19365,1
2008-2009,Houston Rockets,1.25,1,0.67,40,699280,18300,732000,17482,0.97,41,17589,0.92,81,17536,0.94
2009-2010,Houston Rockets,1.1,0,0.65,41,677658,18300,750300,16528,0.92,41,16616,0.87,82,16572,0.89
2010-2011,Houston Rockets,1.18,1,0.51,41,663839,18300,750300,16191,0.9,41,16943,0.89,82,16567,0.89
2011-2012,Houston Rockets,0.95,0,0.52,33,506994,18300,603900,15363,0.85,33,17733,0.93,66,16548,0.89
2012-2013,Houston Rockets,0.97,1,0.52,41,683564,18300,750300,16672,0.92,41,17982,0.94,82,17327,0.93
2013-2014,Houston Rockets,1.08,2,0.55,41,743082,18300,750300,18124,1,41,17427,0.91,82,17775,0.96
2014-2015,Houston Rockets,1.38,1,0.66,41,747412,18300,750300,18230,1.01,41,17969,0.94,82,18099,0.98
2015-2016,Houston Rockets,1.3,1,0.68,41,737244,18300,750300,17982,1,41,17740,0.93,82,17861,0.97
2016-2017,Houston Rockets,0.99,1,0.5,41,737244,18300,750300,17982,1,41,17740,0.93,82,17861,0.97
2008-2009,Indiana Pacers,1.19,1,0.44,41,581472,18500,758500,14182,0.78,41,16628,0.86,82,15405,0.82
2009-2010,Indiana Pacers,1.06,0,0.44,41,582295,18500,758500,14202,0.78,41,16955,0.88,82,15579,0.83
2010-2011,Indiana Pacers,1.06,0,0.39,41,555077,18500,758500,13538,0.75,41,16844,0.87,82,15191,0.81
2011-2012,Indiana Pacers,0.86,1,0.45,33,467561,18500,610500,14169,0.78,33,16597,0.86,66,15383,0.82
2012-2013,Indiana Pacers,1.13,1,0.64,41,626069,18500,758500,15270,0.84,40,17061,0.88,81,16165,0.86
2013-2014,Indiana Pacers,0.94,2,0.61,41,717542,18500,758500,17501,0.96,41,17872,0.93,82,17687,0.94
2014-2015,Indiana Pacers,1.19,0,0.68,41,691434,18500,758500,16864,0.93,41,17892,0.92,82,17378,0.93
2015-2016,Indiana Pacers,1.03,1,0.46,41,690733,18500,758500,16847,0.93,41,17851,0.92,82,17349,0.93
2016-2017,Indiana Pacers,1.03,1,0.55,41,690733,18500,758500,16847,0.93,41,17851,0.92,82,17349,0.93
2008-2009,Los Angeles Clippers,1.07,0,0.28,40,646830,19060,762400,16171,0.85,41,17202,0.9,81,16686,0.87
2009-2010,Los Angeles Clippers,0.98,1,0.23,41,670063,19060,781460,16343,0.86,41,16225,0.85,82,16284,0.86
2010-2011,Los Angeles Clippers,0.87,1,0.35,41,727462,19060,781460,17743,0.93,41,17614,0.93,82,17678,0.93
