NBA Season,Team,# (H) Games,(H) Attendance Season,(H) Capacity %,(H) Capacity Season,(H) Avg Attendance,(H) % Capacity,# (A) Games,(A) Attendance Season,(A) Avg Attendance,(A) Capacity % ,(H) & (A) Avg,(H) & (A) PCT
2008-2009,Indiana Pacers,41,581472,18500,758500,14182.2439,78.1,41,16628,85.7,82,15405,81.9
2009-2010,Indiana Pacers,41,582295,18500,758500,14202.31707,78.2,41,16955,87.9,82,15579,83.05
2010-2011,Indiana Pacers,41,555077,18500,758500,13538.46341,74.5,41,16844,87,82,15191,80.75
2011-2012,Indiana Pacers,33,467561,18500,610500,14168.51515,78,33,16597,85.9,66,15383,81.95
2012-2013,Indiana Pacers,41,626069,18500,758500,15269.97561,84.1,40,17061,87.9,81,16165,86
2013-2014,Indiana Pacers,41,717542,18500,758500,17501.02439,96.3,41,17872,92.5,82,17687,94.4
2014-2015,Indiana Pacers,41,691434,18500,758500,16864.2439,92.8,41,17892,92.4,82,17378,92.6
2015-2016,Indiana Pacers,41,690733,18500,758500,16847.14634,92.7,41,17851,92.3,82,17349,92.5
2016-2017,Indiana Pacers,41,690733,18500,758500,16847.14634,92.7,41,17851,92.3,82,17349,92.5
2008-2009,Los Angeles Clippers,40,646830,19060,762400,16170.75,84.8,41,17202,89.9,81,16686,87.35
2009-2010,Los Angeles Clippers,41,670063,19060,781460,16343,85.7,41,16225,85.3,82,16284,85.5
2010-2011,Los Angeles Clippers,41,727462,19060,781460,17742.97561,93.1,41,17614,92.7,82,17678,92.9
2011-2012,Los Angeles Clippers,33,634237,19060,628980,19219.30303,100.8,33,18342,96.8,66,18781,98.8
2012-2013,Los Angeles Clippers,41,788293,19060,781460,19226.65854,100.9,41,17806,93.4,82,18516,97.15
2013-2014,Los Angeles Clippers,41,787692,19060,781460,19212,100.8,41,17218,90.4,82,18215,95.6
2014-2015,Los Angeles Clippers,41,785892,19060,781460,19168.09756,100.6,41,18079,94.7,82,18624,97.65
2015-2016,Los Angeles Clippers,41,786910,19060,781460,19192.92683,100.7,41,17792,93.6,82,18492,97.15
2016-2017,Los Angeles Clippers,41,786910,19060,781460,19192.92683,100.7,41,17792,93.6,82,18492,97.15
2008-2009,Los Angeles Lakers,41,778877,18997,778877,18997,99.7,40,19268,100.8,81,19133,100.25
2009-2010,Los Angeles Lakers,41,778877,18997,778877,18997,99.7,41,19265,101.2,82,19131,100.45
2010-2011,Los Angeles Lakers,41,778877,18997,778877,18997,99.7,41,19087,100.2,82,19042,99.95
2011-2012,Los Angeles Lakers,33,626901,18997,626901,18997,99.7,33,19034,100.1,66,19016,99.9
2012-2013,Los Angeles Lakers,41,778877,18997,778877,18997,99.7,41,18866,99,82,18932,99.35
2013-2014,Los Angeles Lakers,41,771974,18997,778877,18828.63415,98.8,41,17845,93.6,82,18337,96.2
2014-2015,Los Angeles Lakers,41,768244,18997,778877,18737.65854,98.3,41,17875,93.6,82,18306,95.95
2015-2016,Los Angeles Lakers,41,778877,18997,778877,18997,99.7,41,19149,100.9,82,19073,100.3
2016-2017,Los Angeles Lakers,41,778877,18997,778877,18997,99.7,41,19149,100.9,82,19073,100.3
2008-2009,Memphis Grizzlies,40,509806,18119,724760,12745.15,70.3,41,17101,89.3,81,14923,79.8
2009-2010,Memphis Grizzlies,41,552914,18119,742879,13485.70732,74.4,41,16691,87.6,82,15088,81
2010-2011,Memphis Grizzlies,41,600687,18119,742879,14650.90244,80.9,41,16441,86.4,82,15546,83.65
2011-2012,Memphis Grizzlies,33,518256,18119,597927,15704.72727,86.7,33,17068,89.9,66,16386,88.3
2012-2013,Memphis Grizzlies,41,681613,18119,742879,16624.70732,91.8,41,17194,90,82,16909,90.9
2013-2014,Memphis Grizzlies,41,685458,18119,742879,16718.4878,92.3,41,17269,90.5,82,16994,91.4
2014-2015,Memphis Grizzlies,41,710502,18119,742879,17329.31707,95.6,41,18017,94.4,82,17673,95
2015-2016,Memphis Grizzlies,41,684603,18119,742879,16697.63415,92.2,41,17589,92.1,82,17143,92.15
2016-2017,Memphis Grizzlies,41,684603,18119,742879,16697.63415,92.2,41,17589,92.1,82,17143,92.15
2008-2009,Miami Heat,40,729178,19600,784000,18229.45,93,41,18150,93.7,81,18190,93.35
2009-2010,Miami Heat,41,726935,19600,803600,17730.12195,90.5,41,18040,93.8,82,17885,92.15
2010-2011,Miami Heat,41,810930,19600,803600,19778.78049,100.9,41,19447,100.9,82,19613,100.9
2011-2012,Miami Heat,33,657855,19600,646800,19935,101.7,33,19399,99.7,66,19667,100.7
2012-2013,Miami Heat,41,819290,19600,803600,19982.68293,102,41,19090,99.1,82,19536,100.55
2013-2014,Miami Heat,41,811036,19600,803600,19781.36585,100.9,41,19190,99.3,82,19486,100.1
2014-2015,Miami Heat,41,808223,19600,803600,19712.7561,100.6,41,17703,92,82,18708,96.3
2015-2016,Miami Heat,41,809350,19600,803600,19740.2439,100.7,41,18044,93.9,82,18892,97.3
2016-2017,Miami Heat,41,809350,19600,803600,19740.2439,100.7,41,18044,93.9,82,18892,97.3
2008-2009,Milwaukee Bucks,41,630976,18717,767397,15389.65854,82.2,41,16947,87.3,82,16168,84.75
